Num_Bits,Method,Alpha,Avg_Time,Avg_Attempts,Success_Rate
1,Baseline (Random),0.0,0.438037371635437,1.55,1.0
1,Ours (Guided),3.0,0.25103250741958616,1.4,1.0
2,Baseline (Random),0.0,0.5396967172622681,5.1,1.0
2,Ours (Guided),3.0,0.22380605936050416,1.15,1.0
3,Baseline (Random),0.0,0.9925966620445251,9.45,1.0
3,Ours (Guided),3.0,0.6463971495628357,5.2,1.0
4,Baseline (Random),0.0,3.280951738357544,30.8,1.0
4,Ours (Guided),3.0,1.2325092196464538,11.35,1.0
5,Baseline (Random),0.0,3.96046724319458,37.45,1.0
5,Ours (Guided),3.0,3.3194763541221617,30.55,1.0
6,Baseline (Random),0.0,12.305385029315948,104.35,1.0
6,Ours (Guided),3.0,8.242064499855042,74.0,1.0
7,Baseline (Random),0.0,53.62543164491653,319.1,1.0
7,Ours (Guided),3.0,35.66207368373871,218.35,1.0
8,Baseline (Random),0.0,113.945048725605,549.5,1.0
8,Ours (Guided),3.0,16.400229680538178,136.15,1.0
